name,from,to,rating,tv_or_movie,genre,runtime,votes
Friday,1995,None,7.3,Movie,comedy,91 min,"96,309"
Fantastic Mr. Fox,2009,None,7.9,Movie,comedy,87 min,"190,257"
The IT Crowd,2006,2013,8.5,TV,comedy,25 min,"127,490"
Modern Love,2019,None,8,TV,comedy,32 min,"14,077"
Major League,1989,None,7.2,Movie,comedy,107 min,"60,165"
Caddyshack,1980,None,7.3,Movie,comedy,98 min,"101,910"
Happy Days,1974,1984,7.4,TV,comedy,30 min,"15,304"
Hunter x Hunter,2011,2014,8.9,TV,comedy,24 min,"45,386"
The Blues Brothers,1980,None,7.9,Movie,comedy,133 min,"176,427"
Fighting with My Family,2019,None,7.1,Movie,comedy,108 min,"59,824"
Naruto: Shippûden,2007,2017,8.6,TV,comedy,24 min,"73,762"
"Love, Simon",2018,None,7.6,Movie,comedy,110 min,"92,242"
10 Things I Hate About You,1999,None,7.3,Movie,comedy,97 min,"286,631"
La vita è bella,1997,None,8.6,Movie,comedy,116 min,"598,469"
Ocean's Eight,2018,None,6.2,Movie,comedy,110 min,"171,221"
I Am Not Okay with This,2020,None,7.6,TV,comedy,30 min,"31,065"
The Man from U.N.C.L.E.,2015,None,7.3,Movie,comedy,116 min,"258,929"
Fast Times at Ridgemont High,1982,None,7.2,Movie,comedy,90 min,"89,883"
Jennifer's Body,2009,None,5.2,Movie,comedy,102 min,"111,445"
Ant-Man,2015,None,7.3,Movie,comedy,117 min,"547,230"
Easy A,2010,None,7.1,Movie,comedy,92 min,"347,287"
Big Mouth,2017,None,8,TV,comedy,30 min,"48,560"
Hagane no renkinjutsushi,2009,2012,9.1,TV,comedy,24 min,"105,784"
Teenage Mutant Ninja Turtles,1990,None,6.8,Movie,comedy,93 min,"82,891"
National Lampoon's Vacation,1983,None,7.4,Movie,comedy,98 min,"92,847"
Bridesmaids,2011,None,6.8,Movie,comedy,125 min,"260,951"
Will & Grace,1998,2020,7.2,TV,comedy,22 min,"49,659"
Ghostbusters,1984,None,7.8,Movie,comedy,105 min,"343,642"
Avenue 5,2020,None,6.4,TV,comedy,None,"9,797"
Gravity Falls,2012,2016,8.9,TV,comedy,23 min,"64,958"
Black-ish,2014,None,7.1,TV,comedy,22 min,"18,488"
Superbad,2007,None,7.6,Movie,comedy,113 min,"507,248"
Malèna,2000,None,7.5,Movie,comedy,108 min,"86,399"
The School of Rock,2003,None,7.1,Movie,comedy,109 min,"259,402"
Cuckoo,(201,None,7.3,TV,comedy,30 min,"7,378"
In the Dark,2019,None,7.3,TV,comedy,42 min,"4,208"
Airplane!,1980,None,7.7,Movie,comedy,88 min,"204,297"
Murder Mystery,2019,None,6,Movie,comedy,97 min,"90,480"
Naruto,2002,2007,8.3,TV,comedy,24 min,"63,428"
Sweet Home Alabama,2002,None,6.2,Movie,comedy,108 min,"99,758"
Adventure Time with Finn & Jake,2010,2018,8.6,TV,comedy,11 min,"72,305"
Trailer Park Boys,2001,2018,8.4,TV,comedy,30 min,"35,707"
Cars,2006,None,7.1,Movie,comedy,117 min,"353,895"
Spies in Disguise,2019,None,6.8,Movie,comedy,102 min,"24,478"
A Series of Unfortunate Events,2017,2019,7.8,TV,comedy,50 min,"51,139"
"I, Tonya",2017,None,7.5,Movie,comedy,119 min,"169,538"
Tropic Thunder,2008,None,7,Movie,comedy,107 min,"369,090"
Younger,2015,None,7.8,TV,comedy,22 min,"16,224"
Californication,2007,2014,8.3,TV,comedy,28 min,"168,753"
Dora and the Lost City of Gold,2019,None,6,Movie,comedy,102 min,"19,255"
Killing Gunther,2017,None,4.7,Movie,comedy,92 min,"10,593"
