name,from,to,rating,Tv/Movie,Country Name,Time Duration,Genre,votes,reviews,Meta Score,Certificate,critics,creators,stars
The Lodge,2019,None,6.0,Movie,UK,1h 48min,horror,"18,159",394,64,None,189,Severin Fiala  Veronika Franz  ,Sergio Casci  Veronika Franz  
The VelociPastor,2018,None,5.2,Movie,USA,1h 15min,horror,"2,172",99,None,None,48,Brendan Steere  ,
The Platform,2019,None,7.0,Movie,Spain,1h 34min,horror,"129,992",846,73,TV-MA,154,Galder Gaztelu-Urrutia  ,David Desola  David Desola  
Fantasy Island,2020,None,4.8,Movie,USA,1h 49min,horror,"21,637",537,22,None,143,Jeff Wadlow  ,Jillian Jacobs  Christopher Roach  
The Lighthouse,2019,None,7.6,Movie,Canada,1h 49min,horror,"107,595",985,83,None,381,Robert Eggers  ,Robert Eggers  
The Originals,2013,2018,8.2,TV,USA,45min,horror,"111,787",307,None,TV-14,27,Julie Plec  ,Joseph Morgan  Daniel Gillies  Claire Holt  
Crawl,2019,None,6.2,Movie,USA,1h 27min,horror,"55,102",823,60,None,290,Alexandre Aja  ,Michael Rasmussen  
It Chapter Two,2019,None,6.6,Movie,Canada,2h 49min,horror,"180,172","2,156",58,None,415,Andy Muschietti  ,Stephen King  
The Haunting of Hill House,2018,None,8.7,TV,USA,50min,horror,"147,584","2,067",None,TV-MA,91,Mike Flanagan  ,Henry Thomas  Oliver Jackson-Cohen  Kate Siegel  
Underwater,2020,None,5.8,Movie,USA,1h 35min,horror,"41,834",720,48,None,220,William Eubank  ,Brian Duffield  Adam Cozad  
Doctor Sleep,2019,None,7.4,Movie,UK,2h 32min,horror,"105,639","1,194",59,None,341,Mike Flanagan  ,Mike Flanagan  
Alien,1979,None,8.4,Movie,UK,1h 57min,horror,"759,409","1,417",89,None,460,Ridley Scott  ,Dan O'Bannon  Dan O'Bannon  
Fear the Walking Dead,2015,None,6.9,TV,USA,44min,horror,"106,451",828,None,TV-MA,71,Dave Erickson  Robert Kirkman  ,Kim Dickens  Frank Dillane  Cliff Curtis  
Hannibal,2013,2015,8.5,TV,USA,44min,horror,"215,537",454,None,TV-14,109,Bryan Fuller  ,Hugh Dancy  Mads Mikkelsen  Caroline Dhavernas  
The Wretched,2019,None,5.8,Movie,USA,1h 35min,horror,"3,544",84,61,Not Rated,96,Brett Pierce  Drew T. Pierce  ,Brett Pierce  
Hereditary,2018,None,7.3,Movie,USA,2h 7min,horror,"210,948","3,031",87,None,468,Ari Aster  ,
Penny Dreadful,2014,2016,8.2,TV,Ireland,1h,horror,"107,932",267,None,TV-MA,68,John Logan  ,Josh Hartnett  Timothy Dalton  Eva Green  
It,2017,None,7.3,Movie,Canada,2h 15min,horror,"435,560","1,903",69,None,624,Andy Muschietti  ,Chase Palmer  Cary Joji Fukunaga  
Dorohedoro,2020,None,8.2,TV,Japan,25min,horror,"1,433",30,None,TV-MA,5,Wataru Takagi  Reina Kondou  Ken'yû Horiuchi  See full cast & crew  ,N  o  n  e  
The Shining,1980,None,8.4,Movie,UK,2h 26min,horror,"856,373","1,785",66,R,353,Stanley Kubrick  ,Stephen King  Stanley Kubrick  
Get Out,2017,None,7.7,Movie,USA,1h 44min,horror,"462,480","1,552",85,None,729,Jordan Peele  ,
Locke & Key,2020,None,7.4,TV,Canada,48min,horror,"32,826",879,None,TV-14,57,Meredith Averill  Carlton Cuse  Aron Eli Coleite  ,Darby Stanchfield  Connor Jessup  Emilia Jones  
Halloween Kills,2020,None,None,Movie,USA,None,horror,None ,8,None,None,,David Gordon Green  ,John Carpenter  David Gordon Green  
Legacies,2018,None,7.5,TV,USA,45min,horror,"15,828",321,None,TV-14,6,Julie Plec  ,Danielle Rose Russell  Aria Shahghasemi  Quincy Fouse  
Castle Rock,2018,None,7.6,TV,USA,1h,horror,"34,956",508,None,TV-MA,53,Sam Shaw  Dustin Thomason  ,Bill Skarsgård  André Holland  Melanie Lynskey  
Us,(201,None,6.9,TV,USA,1h 56min,horror,"201,641","3,020",81,None,519,Jordan Peele  ,
Chilling Adventures of Sabrina,2018,None,7.6,TV,USA,1h,horror,"66,189","1,120",None,TV-14,78,Roberto Aguirre-Sacasa  ,Kiernan Shipka  Ross Lynch  Lucy Davis  
Dinosaurus!,1960,None,5.0,Movie,USA,1h 23min,horror,"1,232",48,None,Unrated,25,Irvin S. Yeaworth Jr.  ,Jack H. Harris  Dan E. Weisburd  
What We Do in the Shadows,2014,None,7.7,Movie,New Zealand,1h 26min,horror,"146,556",337,76,None,305,Jemaine Clement  Taika Waititi  ,Jemaine Clement  
Psycho,1960,None,8.5,Movie,USA,1h 49min,horror,"578,023","1,256",97,R,227,Alfred Hitchcock  ,Joseph Stefano  
Zombieland: Double Tap,2019,None,6.7,Movie,USA,1h 39min,horror,"112,238",669,55,None,273,Ruben Fleischer  ,Rhett Reese  Paul Wernick  
Priest,2011,None,5.7,Movie,USA,1h 27min,horror,"112,347",269,41,None,201,Scott Stewart  ,Cory Goodman  
The Addams Family,2019,None,5.8,Movie,Canada,1h 26min,horror,"20,938",275,46,None,163,Greg Tiernan  Conrad Vernon  ,Matt Lieberman  Matt Lieberman  
A Quiet Place Part II,2020,None,None,Movie,USA,1h 37min,horror,None ,1 c,None,None,None,John Krasinski  ,Scott Beck  John Krasinski  
